content,sentiment
Sometimes you just have to remain silent because no words can explain what ’ s going on in your mind and heart.,sad
My silence doesn’t mean that I quit… It simply that means I don’t want to argue with people who just don’t want to understand.,angry
"Honestly, choose people who choose you.",angry
Sometimes you wanna give people a high five to the.,angry
Like I to pretend that i am okay I do because not wanna annoy people with problems my.,sad
"Don ’ t trust too much, ’ t hope too much that “ much ” can hurt you so much.",sad
What sometimes you don ’ t say more is powerful what than you say do.,sad
"What hurts you today, makes stronger you tomorrow.",sad
Angry getting actually is punishing yourself with the of mistakes others.,angry
"I don’t usually lose my temper, but if I get angry, it’s true I’m scary. This is too much.",angry
Surrounded by many hoi polloi world health organization jazz me. . but yet I ’ m thus solely. . why is that? Is it because your the only one not on that point? ??,sad
You Attitude May Me Hurt But Mine Kill Can. You,angry
"I cry then I, then cry again, it never ends.",sad
Me And My Married woman Live Happily For Years And Then We Met …,angry
There’s a always person that you hate for no reason.,sad
Always people miss more you when they find out how much happier you without them are.,angry
